Region,Gender,Percent
New South Wales,Female,43.5
New South Wales,Male,29.7
Victoria,Female,42.5
Victoria,Male,28.8
Queensland,Female,49.3
Queensland,Male,34.1
South Australia,Female,44.8
South Australia,Male,30.5
Western Australia,Female,46.1
Western Australia,Male,31.4
Tasmania,Female,46.9
Tasmania,Male,31.7
Northern Territory,Female,47.5
Northern Territory,Male,33.1
Australian Capital Territory,Female,48.1
Australian Capital Territory,Male,33.6
